datasetid;title;description;theme;keyword;license;license_url;language;timezone;modified;modified_updates_on_metadata_change;modified_updates_on_data_change;data_processed;metadata_processed;publisher;references;records_count;attributions;source_domain;source_domain_title;source_domain_address;source_dataset;federated;oauth_scope;parent_domain;dcat.created;dcat.issued;dcat.creator;dcat.contributor;dcat.contact_name;dcat.contact_email;dcat.accrualperiodicity;dcat.spatial;dcat.temporal;dcat.granularity;dcat.dataquality;inspire.theme;inspire.type;inspire.file_identifier;inspire.hierarchy_level;inspire.hierarchy_level_name;inspire.spatial_resolution;inspire.topologic_consistency;inspire.contact_individual_name;inspire.contact_position;inspire.contact_address;inspire.contact_email;inspire.identification_purpose;inspire.extend_description;inspire.extend_bounding_box_westbound_longitude;inspire.extend_bounding_box_eastbound_longitude;inspire.extend_bounding_box_southbound_latitude;inspire.extend_bounding_box_northbound_latitude;dcat_ap_ch.domain;dcat_ap_ch.rights;semantic.rml_mapping;semantic.classes;semantic.properties;explore.download_count
distributeurspreservatifsmasculinsparis2012;Distributeurs de préservatifs à Paris;Equipements municipaux qui hébergent un distributeur de préservatifs masculins à prix réduit (1€ les 5 préservatifs). Le jeu de données comprend l'adresse et les horaires d'ouverture des équipements.  ;Equipements, Services, Social;Santé, Services, Paris, préservatifs, protection;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2013-06-21T12:59:45+00:00;;;2017-05-13T08:35:47+00:00;2017-05-13T08:35:48+00:00;Mairie de Paris / Direction de la Prévention et de la Protection;;31;;;;;;False;;;;2012-01-20;;;;;annuelle;;;;;;;;;;;;;;;;;;;;;;;;;;;16062
arretesinsalubriteparis2010;Arrêtés municipaux d'insalubrité - 2010;Arrêté municipaux d'insalubrité de mise en demeure à 1 mois;Urbanisme et Logements;Santé, Paris, Logements;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2013-06-21T13:01:39+00:00;;;2017-05-13T08:35:52+00:00;2017-05-13T08:35:53+00:00;Mairie de Paris / Direction du Logement et de l'Habitat;;276;;;;;;False;;;;2011-01-17;;;;;Annuelle;;;;;;;;;;;;;;;;;;;;;;;;;;;4440
volumes_d_eau_distribues;Volumes d'eau distribués;"<p>
	Fichier détaillant les volumes d'eau potables consommés par mois en 2011 à Paris.
</p>";Environnement;eau, consommation;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2013-06-24T16:17:51+00:00;;;2017-05-13T08:51:15+00:00;2017-05-13T08:51:16+00:00;Mairie de Paris / Direction de la Propreté et de l'Eau;;12;;;;;;False;;;;2012-10-05;;;;;Annuelle;;;;;;;;;;;;;;;;;;;;;;;;;;;2423
catalogue_des_cours_municipaux_d_adultes;Catalogue des cours municipaux d'adultes;"<p>
	Catalogue des cours municipaux d'adultes 2011-2012. Ce jeu de données comprend le département d'enseignement, la formation et le module suivis, le nom de l'établissement et les dates de début et de fin.
</p>";Equipements, Services, Social;enseignement, formation, cours, éducation;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2013-06-26T13:39:12+00:00;;;2017-11-17T13:38:54+00:00;2017-11-17T13:38:55+00:00;Mairie de Paris / Direction des Affaires Scolaires ;;1435;;;;;;False;;;;2012-02-16;;;;;Annuelle;;;;;;;;;;;;;;;;;;;;;;;;;;;2841
adresses_des_panneaux_cq;Adresses des panneaux d'affichage des Conseils de Quartier;"<p>
	     Liste des panneaux d'affichage des Conseils de Quartier.<br/>
	     Le jeu de données précise:<br/>
<span style=""line-height: 1.45em;"">- Le type de panneau<br/>
<br/></span><span style=""line-height: 1.45em;""></span><span style=""line-height: 1.45em;"">- L'adresse<br/>
<br/></span><span style=""line-height: 1.45em;"">- Le conseil de quartier responsable du panneau<br/>
<br/></span><span style=""line-height: 1.45em;"">- Les personnes à contacter</span><span style=""line-height: 1.45em;""></span>
<br/></p><p>
<span style=""line-height: 1.45em;"">Les lignes vides dans le jeu de données signifient qu'il n'y a pas de panneaux dans l'arrondissement en question. </span></p><p>
<span style=""line-height: 1.45em;"">Consultez l'annuaire des conseils de quartier : </span><a href=""http://www.paris.fr/participez/participation-citoyenne/conseils-de-quartiers-2384"">http://www.paris.fr/participez/participation-citoy...</a></p>";Citoyenneté;Affichage, panneau, quartier, Conseil de quartier, conseil;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2013-07-17T09:28:19+00:00;;;2017-05-13T12:23:04+00:00;2017-05-13T12:23:05+00:00;Mairie de Paris / Direction de la Démocratie, des Citoyens et des Territoires;;218;;;;;;False;;;;2013-07-16;;;;;Annuelle;;;;;;;;;;;;;;;;;;;;;;;;;;;3678
etiquettes_energetiques_des_batiments_municipaux;Etiquettes énergétiques des batiments municipaux;"<p>
	 Jeu de données qualifiant les performances énergétiques des bâtiments :<br/>
<span style=""line-height: 1.45em;"">- Étiquette énergie<br/>
</span></p></pre><span style=""line-height: 1.45em;"">- Étiquette Gaz à effet de serre.</span>
<p>
	 Les informations de ce jeu de données sont valables 10 a";Environnement, Equipements, Services, Social;GES, énergie, diagnostic;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2013-07-18T14:40:12+00:00;;;2017-05-13T09:20:01+00:00;2017-05-13T09:20:02+00:00;Mairie de Paris / Direction du Patrimoine et de l’Architecture;;1743;;;;;;False;;;;2012-05-31;;;;;Tous les 10 ans;;;;;;;;;;;;;;;;;;;;;;;;;;;4471
petits_marchands_sur_l_espace_public_en_2012;Petits Marchands sur l'espace public parisien;"<p>
<span style=""line-height: 1.45em;"">Liste des commerçants autorisés et exerçant sur la voie publique. Le jeu de données comprend la localisation du stand, le type d'activité exercée et les horaires d'activité autorisés.</span></p><p>
	A noter que le jeu de données ""Petits Marchands sur l'espace public parisien en 2011"" ne sera plus mis à jour. Il faudra désormais se référer à ce jeu de donnée pour les futures mises à jour.</p>";Equipements, Services, Social;Marchands, commercants, espace public;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2013-07-19T13:54:08+00:00;;;2017-05-13T12:21:47+00:00;2017-05-13T12:21:48+00:00;Mairie de Paris / Direction de l'Attractivité et de l'Emploi;;120;;;;;;False;;;;2013-07-03;;;;;Annuelle;;;;;;;;;;;;;;;;;;;;;;;;;;;2833
liste_des_jardins_partages_a_paris;Les jardins partagés;"<p><em>Couche anciennement intitulée ""Liste des jardins partagés à Paris"" (2011).</em></p><p>Cette couche à figuré ponctuel localise géographiquement l’ensemble  des jardins partagés, pédagogiques et/ou d’insertion gérés par  différentes associations.</p><p>Pour plus de renseignements,  consultez la notice en pièce jointe.</p><p style=""margin-left: 200px;""><br/><strong>/!\ INFOS /!\ </strong></p><p>Suite à la mise à jour de ce jeu de données, nous avons décidé  de modifier le nom des champs :</p><table><tbody><tr><td><strong>Ancien nom</strong></td><td><strong>Nouveau nom</strong></td></tr><tr><td>Nom du jardin</td><td>NOM JARDIN</td></tr><tr><td>Type de jardin – activité principale</td><td>TYPE JARDIN</td></tr><tr><td>Adresse complète</td><td>ADRESSE JARDIN</td></tr><tr><td>Nom de l’association gestionnaire (...)</td><td>NOM GESTIONNAIRE</td></tr><tr><td>Adresse postale de l’association gestionnaire</td><td>ADRESSE GESTIONNAIRE</td></tr></tbody></table>";Environnement;jardins, partagés;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2013-07-29T09:59:18+00:00;;;2017-05-13T08:44:25+00:00;2017-05-13T08:44:26+00:00;Mairie de Paris / Direction des Espaces Verts et de l'Environnement;;90;;;;;;False;;;;2011-10-27;;;;;Annuelle;;;;;;;;;;;;;;;;;;;;;;;;;;;6467
liste_des_marches_de_quartier_a_paris;Liste des marchés de quartier à Paris;"<p>
	 Liste des marchés de quartier en 2012 avec :<br/>
	 • Adresse du site<br/>
	 • Jours et horaires d'ouverture (ils sont fixes)<br/>
	 • Type du marché : alimentaires couverts,alimentaires découverts,fleurs,timbres,création,puces,biologique
</p>";Equipements, Services, Social;marché, quartier;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2013-07-29T10:26:20+00:00;;;2017-09-26T15:42:20+00:00;2017-09-26T15:42:21+00:00;Mairie de Paris / Direction de l'Attractivité et de l'Emploi;;94;;;;;;False;;;;2012-05-04;;;;;Annuelle;;;;;;;;;;;;;;;;;;;;;;;;;;;7103
les_1000_titres_les_plus_empruntes_2012_par_bibliotheque;les 1000 titres les plus empruntés par bibliothèque en 2012;"<p>
	Les 1000 références les plus empruntées en 2012, par bibliothèque
</p>";Culture;bibliothèque, prêt, livres, statistiques;ODBl Paris;http://opendatacommons.org/licenses/odbl/;fr;;2013-08-07T14:59:20+00:00;;;2017-05-13T08:56:14+00:00;2017-05-13T08:56:15+00:00;;;57173;;;;;;False;;;;2012-10-25;Ville de Paris;Ville de Paris;;;Semestrielle;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;2056
les_1000_titres_les_plus_empruntes_de_2012;Les 1000 titres les plus empruntés de 2012;"<p>
	Les 1000 références les plus empruntées en 2012 au sein des bibliothèques municipales de la ville de Paris.
</p>";Culture;bibliothèques, livres, documents, DVD, références, prêt;ODBl Paris;http://opendatacommons.org/licenses/odbl/;fr;;2013-08-07T15:03:53+00:00;;;2017-05-13T08:44:40+00:00;2017-05-13T08:44:41+00:00;;http://opendata.paris.fr/opendata/jsp/site/Portal.jsp?document_id=157&portlet_id=106;1000;;;;;;False;;;;2013-02-14;Ville de Paris;Ville de Paris;;;Semestrielle;;2012;;;;;;;;;;;;;;;;;;;;;;;;;6603
maneges_et_jeux_2012;Attractions foraines sur l'espace public;"<p>
<span style=""line-height: 1.45em;"">Manèges et jeux forains autorisés sur l'espace public parisien. Le jeu de données comprend la localisation du l'attraction, le type d'attraction et les horaires d'activité autorisés.</span>
</p>
<p>
<span style=""line-height: 1.45em;""></span>
</p>
<p>
<span style=""line-height: 1.45em;"">A noter que le jeu de données "" </span>Attractions foraines sur l'espace public en 2011"" ne sera plus mis à jour.  Il faudra désormais se réferer à ce jeu de donnée pour les futures mises à jour.
</p>";Services;attraction, foraine, espace, jeux, manège;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2013-08-20T15:00:28+00:00;;;2017-05-13T12:21:51+00:00;2017-05-13T12:21:52+00:00;Ville de Paris;;29;;;;;;False;;;;2013-07-04;Ville de Paris;Ville de Paris;;;Annuelle;Paris;2012;;;;;;;;;;;;;;;;;;;;;;;;;2841
panneaux_d_affichage_associatifs;Panneaux d'affichages associatifs;"<p>
<span style=""line-height: 1.45em;"">Liste des panneaux d'affichage associatifs par arrondissement, comportant la géolocalisation et le format du panneau</span>
</p>";Citoyenneté;association, communication, affichage, tracts, affiches, information;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2013-08-20T15:00:58+00:00;;;2017-05-13T12:05:02+00:00;2017-05-13T12:05:03+00:00;Mairie de Paris / Direction de la Démocratie, des Citoyens et des Territoires;;288;;;;;;False;;;;2010-11-13;;;;;Annuelle;;;;;;;;;;;;;;;;;;;;;;;;;;;4791
attractions_foraines_sur_l_espace_public;Attractions foraines sur l'espace public en 2011;"<p>
	    Manèges et jeux forains autorisés sur l'espace public parisien. Le jeu de données comprend la localisation du l'attraction, le type d'attraction et les horaires d'activité autorisés.
</p>
<p>
	 A noter qu'il existe un autre jeu de donnée mis à jour.
</p>";Equipements, Services, Social;attraction, foraine, espace, jeux, manège;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2013-08-20T15:24:43+00:00;;;2017-05-13T09:19:32+00:00;2017-05-13T09:19:33+00:00;Mairie de Paris / Direction des Espaces Verts et de l'Environnement;;29;;;;;;False;;;;2012-02-05;;;;;Annuelle;;;;;;;;;;;;;;;;;;;;;;;;;;;2095
annuaire_immobilier_de_l_enseignement_superieur;Annuaire Immobilier de l'Enseignement Superieur;"<p>
	  L'annuaire immobilier de l’Enseignement supérieur est une tentative pour rassembler dans un cadre unique les principaux établissements d’enseignement supérieur de Paris et de sa couronne, autrement dit de Paris-Métropole, sur la base des adresses et des parcelles.<br/>
<br/>
<span style=""line-height: 1.45em;"">Exemple(s) de réutilisation(s) des données : - Transparent School, un mash up entre Annuaire Immobilier de l'Enseignement Superieur et Foursquare <a href=""http://www.transparentschool.org/"">http://www.transparentschool.org/</a></span>
</p></pre>
<p>
	  Notice :  L’annuaire immobilier de l’Enseignement supérieur est une tentative pour rassembler dans un cadre unique les principaux établissements d’enseignement supérieur de Paris et de sa couronne, autrement dit de  Paris-Métropole, sur la base des adresses et des parcelles.<br/>
<br/>
<span style=""line-height: 1.45em;"">Les établissements sont classés par arrondissement.<br/>
<br/>
</span></p><span style=""line-height: 1.45em;"">Puis par N° de la parcelle, telle qu’elle est connue à la direction de l’urbanisme de la ville de Paris – sous direction de l’action foncière. La surface de la parcelle est exprimée en m².</span>

<p>
	  Une grande valeur ajoutée de l’Annuaire est de mentionner le propriétaire.<br/>
<br/>
<span style=""line-height: 1.45em;"">L’occupant est cité, en sigle et avec sa dénomination développée, afin de faciliter la lecture.<br/>
<br/>
</span></p><span style=""line-height: 1.45em;"">La catégorie « type » renvoie à un classement selon des catégories pré-définies : université, grand établissement, grandes écoles.<br/>
<br/>
</span><span style=""line-height: 1.45em;"">La tutelle pédagogique est intéressante pour les cas, limités en nombre, où ce n’est pas celle du ministère de l’enseignement supérieur.<br/>
<br/>
</span><span style=""line-height: 1.45em;"">La rubrique « statut » permet de séparer les établissements publics des établissements privés. Cet annuaire se veut exhaustif pour les « publics » ; par contre, un choix a été fait concernant les « privés ». Ont été retenus ceux entrants dans un type pré-déterminé ou ceux, notamment en matière de gestion et de management, ayant une certaine reconnaissance ; les auteurs de l’Annuaire admettent ici une marge de choix.<br/>
<br/>
</span><span style=""line-height: 1.45em;"">Enfin, la colonne PRES signale si le site appartient à un établissement membre d’un Pole de Recherche et d’Enseignement Supérieur.</span>

<p>
<span style=""line-height: 1.45em;"">P2 = </span>Paris II Panthéon-Assas<br/>
	 P4 = Paris IV Paris-Sorbonne <br/>
	 P6 = Paris VI Pierre et Marie Curie (UPMC";Equipements, Services, Social;annuaire, immobilier, établissement, université, enseignement;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2013-08-21T10:57:48+00:00;;;2017-05-13T09:10:25+00:00;2017-05-13T09:10:26+00:00;Mairie de Paris / Direction des Affaires Scolaires ;;589;;;;;;False;;;;2011-05-05;;;;;Annuelle;;;;;;;;;;;;;;;;;;;;;;;;;;;3202
zones-de-rattachement-des-bureaux-de-vote-en-2012;Secteurs des bureaux de vote en 2012;<p>Zones de rattachement des bureaux de vote en 2012</p>;Citoyenneté;élection, vote, bureau;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2014-01-24T15:16:15+00:00;False;False;2019-04-02T13:33:38+00:00;2019-04-02T13:33:39+00:00;Mairie de Paris / Direction de la Démocratie, des Citoyens et des Territoires;;869;;;;;;False;;;2014-01-24;2014-01-24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2635
zones-de-rattachement-des-bureaux-de-vote-en-2014;Secteurs des bureaux de vote en 2014;<p>Zones de rattachement des bureaux de vote en 2014</p>;Citoyenneté;élection, élections, vote, bureau;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2014-01-24T15:30:23+00:00;False;False;2019-04-02T13:34:29+00:00;2019-04-02T13:34:30+00:00;Mairie de Paris / Direction de la Démocratie, des Citoyens et des Territoires;;869;;;;;;False;;;2014-01-24;2014-01-24;;;;;Pas de mise à jour ;;;;;;;;;;;;;;;;;;;;;;;;;;;4095
plaques_commemoratives_1939-1945;Plaques commémoratives 1939-1945;"<p>
	  La liste des plaques commémoratives des personnes et des organisations qui se sont illustrées durant la période 1939-1945 par arrondissement.</p><p>
	      Exemples de réutilisations: - A l'aide du site www.plaques-paris.fr, conformément à la licence ODbl, le fichier web service tabulaire (Google Feuille de calcul) a reçu une amélioration. (Ajout des coordonnées géographiques)</p>";Culture;commémoration, guerre, plaque, patrimoine;Open Database License (ODbL);http://opendatacommons.org/licenses/odbl/;fr;;2014-02-28T01:58:03+00:00;;;2017-06-09T14:47:04+00:00;2017-06-09T14:47:05+00:00;Mairie de Paris / Direction des Affaires Culturelles  ;;1219;;;;;;False;;;;2012-05-31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4851
les_1000_titres_les_plus_empruntes_de_2013;les 1000 titres les plus empruntés de 2013;"<p>
	 <span style=""line-height: 1.45em;"">Les 1000 références les plus empruntées en 2013 au sein des bibliothèques municipales de la ville de Paris.</span></p><p>
	 La mise de ce jeu de données est semestrielle.</p><p>
	 En pièce jointe, vous trouverez le même fichier au format xls contenant les liens vers les oeuvres.</p>";Culture;bibliothèques, livres, documents, DVD, références, prêt;ODBl Paris;http://opendatacommons.org/licenses/odbl/;fr;;2014-04-22T15:49:10+00:00;;;2017-05-13T12:23:18+00:00;2017-05-13T12:23:19+00:00;;;1000;;;;;;False;;;;2013-08-07;Ville de Paris;Ville de Paris;;;semestrielle;;2013;;;;;;;;;;;;;;;;;;;;;;;;;2542
les_1000_titres_les_plus_reserves_en_2013;Les 1000 titres les plus réservés en 2013;"<p>
	<span style=""line-height: 1.45em;"">Les 1000 références les plus réservées en 2013 au sein des bibliothèques municipales de la ville de Paris.</span></p><p>
	La mise de ce jeu de données est semestrielle.</p><p>
	En pièce jointe, vous trouverez le même fichier au format xls contenant les liens vers les oeuvres.</p>";Culture;bibliothèques, livres, documents, DVD, références, prêt, recherche;ODBl Paris;http://opendatacommons.org/licenses/odbl/;fr;;2014-04-22T16:16:38+00:00;;;2017-05-13T12:23:42+00:00;2017-05-13T12:23:43+00:00;;;1000;;;;;;False;;;;2013-08-07;Ville de Paris;Ville de Paris;;;Semestrielle;Paris;2013;;;;;;;;;;;;;;;;;;;;;;;;;1946
les_1000_titres_les_plus_recherches_en_2013;Les 1000 titres les plus recherchés en 2013;"<p>
	 <span style=""line-height: 1.45em;"">Les 1000 références les plus recherchées en 2013 au sein des bibliothèques municipales de la ville de Paris.</span></p><p>
	 La mise de ce jeu de données est semestrielle.</p><p>
	 En pièce jointe, vous trouverez le même fichier au format xls contenant les liens vers les oeuvres.</p>";Culture;bibliothèques, livres, documents, DVD, références, prêt, recherche;ODBl Paris;http://opendatacommons.org/licenses/odbl/;fr;;2014-04-22T16:22:40+00:00;;;2017-05-13T12:23:25+00:00;2017-05-13T12:23:26+00:00;;;1000;;;;;;False;;;;2013-08-07;Ville de Paris;Ville de Paris;;;Semestrielle;Paris;2013;;;;;;;;;;;;;;;;;;;;;;;;;2735
